ModelName,WJ324
FileVersion,1
Acquisition Time,2016/12/29 11:14:49
Time/div(second),500E-09
Delay(second),-1.67E-06
Delta(second),1E-09
Acquisition Mode,Normal
Trigger Address,830
CH1 Display,On
CH2 Display,On
CH3 Display,Off
CH4 Display,Off
CH1 Volt/div,200E-03
CH2 Volt/div,500E-03
CH3 Volt/div,500E-03
CH4 Volt/div,500E-03
CH1 Offset,-680E-03
CH2 Offset,-1.70E+00
CH3 Offset,-1.49E+00
CH4 Offset,1.51E+00
CH1 Coupling,DC1M
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC1M
CH1 Bandwidth,20MHz
CH2 Bandwidth,20MHz
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,5001
Ch1 V,Ch2 V,Ch3 V,Ch4 V
8.98E-01,-5.00E-02,,
8.92E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.92E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.92E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
8.98E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
8.98E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-3.43E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.11E-01,-3.43E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-3.43E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-5.00E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-8.12E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.17E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.17E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-9.68E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-9.68E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-9.68E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-9.68E-02,,
9.11E-01,-6.56E-02,,
9.05E-01,-8.12E-02,,
9.11E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.05E-01,-6.56E-02,,
9.11E-01,-8.12E-02,,
9.11E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-6.56E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
9.05E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
8.98E-01,-8.12E-02,,
9.05E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
9.05E-01,-8.12E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.92E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.92E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.98E-01,-9.68E-02,,
8.98E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-9.68E-02,,
8.92E-01,-6.56E-02,,
8.92E-01,-9.68E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-8.12E-02,,
8.92E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.86E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.86E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.80E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.80E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.80E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.80E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.80E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.73E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.73E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-6.56E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-8.12E-02,,
8.61E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.67E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.67E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.61E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.55E-01,-8.12E-02,,
8.61E-01,-9.68E-02,,
8.55E-01,-8.12E-02,,
8.55E-01,-9.68E-02,,
8.55E-01,-8.12E-02,,
8.55E-01,-9.68E-02,,
8.55E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.48E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.48E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.42E-01,-9.68E-02,,
8.42E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.36E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.36E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.36E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.36E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.30E-01,-8.12E-02,,
8.36E-01,-9.68E-02,,
8.30E-01,-8.12E-02,,
8.30E-01,-9.68E-02,,
8.30E-01,-8.12E-02,,
8.30E-01,-9.68E-02,,
8.30E-01,-8.12E-02,,
8.30E-01,-8.12E-02,,
8.30E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.30E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.17E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.17E-01,-8.12E-02,,
8.23E-01,-9.68E-02,,
8.23E-01,-8.12E-02,,
8.17E-01,-9.68E-02,,
8.17E-01,-8.12E-02,,
8.17E-01,-9.68E-02,,
8.17E-01,-8.12E-02,,
8.17E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.11E-01,-8.12E-02,,
8.11E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
8.05E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
8.05E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
8.05E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
8.05E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
7.98E-01,-9.68E-02,,
8.05E-01,-8.12E-02,,
7.98E-01,-9.68E-02,,
7.98E-01,-8.12E-02,,
7.98E-01,-9.68E-02,,
7.98E-01,-8.12E-02,,
7.98E-01,-9.68E-02,,
7.92E-01,-8.12E-02,,
